price_id,daily_price,weekly_price,monthly_price,cleaning_fee,security_deposit
656,1200.0,,,500.0,5000.0
657,42.0,330.0,1080.0,,95.0
658,679.0,4900.0,11800.0,300.0,4900.0
659,260.0,,,50.0,150.0
660,28.0,,,12.0,
661,99.0,688.0,2488.0,90.0,250.0
662,238.0,,,199.0,
663,348.0,,,120.0,200.0
664,159.0,,,150.0,150.0
665,44.0,225.0,800.0,40.0,150.0
666,220.0,,,120.0,200.0
667,38.0,,,,
668,140.0,,,15.0,100.0
669,299.0,,,150.0,500.0
670,118.0,,,,
671,199.0,,,,
672,280.0,,,250.0,1000.0
673,118.0,,2328.0,30.0,100.0
674,80.0,,,75.0,200.0
675,55.0,,,50.0,100.0
676,63.0,,,25.0,
677,200.0,,,180.0,1000.0
678,55.0,,,,
679,1200.0,,,160.0,1500.0
680,59.0,,,65.0,150.0
681,51.0,250.0,850.0,40.0,200.0
682,288.0,,,80.0,300.0
683,150.0,,,150.0,1000.0
684,125.0,,,125.0,500.0
685,426.0,,,,500.0
686,100.0,,,20.0,150.0
687,268.0,,,,
688,300.0,1680.0,6800.0,120.0,400.0
689,49.0,,,10.0,
690,99.0,,,20.0,
691,65.0,,,15.0,
692,118.0,,,20.0,
693,166.0,,,10.0,
694,33.0,170.0,650.0,15.0,200.0
695,89.0,,,25.0,500.0
696,328.0,,,250.0,500.0
697,269.0,,,150.0,800.0
698,180.0,,,100.0,300.0
699,188.0,,,46.0,
700,58.0,,,20.0,99.0
701,168.0,,,,
702,138.0,,,30.0,500.0
703,58.0,,,10.0,200.0
704,328.0,1480.0,6000.0,120.0,380.0
705,249.0,,,250.0,300.0
706,275.0,1720.0,,100.0,
707,149.0,,,30.0,150.0
708,90.0,,,,
709,130.0,,,50.0,200.0
710,288.0,,,,
711,85.0,,,,
712,30.0,,,15.0,100.0
713,45.0,,,,
714,79.0,,,35.0,
715,59.0,,,,
716,260.0,,,50.0,150.0
717,125.0,,,60.0,200.0
718,69.0,,,20.0,100.0
719,120.0,,,50.0,200.0
720,90.0,,,,
721,37.0,,,,95.0
722,130.0,,,50.0,200.0
723,100.0,657.0,2170.0,,
724,90.0,,,,
725,150.0,,,,
726,88.0,,,25.0,200.0
727,58.0,,,,
728,269.0,,,150.0,1000.0
729,43.0,,,10.0,100.0
730,32.0,,,15.0,100.0
731,90.0,,,,95.0
732,76.0,,,70.0,1600.0
733,55.0,420.0,1150.0,28.0,150.0
734,90.0,,,20.0,
735,88.0,,,30.0,
736,126.0,,,,
737,79.0,,,15.0,200.0
738,150.0,,,50.0,250.0
739,49.0,295.0,1100.0,15.0,95.0
740,55.0,,,,
741,149.0,,,30.0,150.0
742,278.0,,,50.0,
743,100.0,,,100.0,1000.0
744,159.0,,,30.0,150.0
745,65.0,,,5.0,
746,99.0,,,10.0,
747,49.0,,,10.0,
748,70.0,,,15.0,150.0
749,59.0,534.0,1997.0,30.0,150.0
750,49.0,,,20.0,110.0
751,199.0,,,199.0,
752,55.0,,,,150.0
753,33.0,250.0,800.0,15.0,300.0
754,100.0,,,,
755,83.0,,,20.0,100.0
756,42.0,,,25.0,180.0
757,149.0,,,30.0,150.0
758,45.0,,,15.0,300.0
759,79.0,,,10.0,
760,75.0,,,30.0,100.0
761,83.0,480.0,1380.0,,
762,100.0,,,300.0,500.0
763,150.0,,,,
764,70.0,,,,
765,50.0,,,,
766,230.0,1400.0,5700.0,80.0,800.0
767,50.0,,,,
768,41.0,330.0,1087.0,,95.0
769,48.0,,,50.0,100.0
770,70.0,,,,
771,248.0,,,200.0,1000.0
772,120.0,,,100.0,1000.0
773,168.0,,,,
774,86.0,,,10.0,95.0
775,69.0,,,15.0,
776,99.0,,,20.0,
777,248.0,,,,
778,59.0,,,5.0,
779,149.0,,,,
780,75.0,,,,
781,68.0,,,10.0,100.0
782,50.0,,,80.0,100.0
783,70.0,,,,
784,175.0,,,,150.0
785,199.0,,,50.0,200.0
786,80.0,500.0,1950.0,20.0,
787,268.0,,,,
788,248.0,,,250.0,1000.0
789,144.0,1007.0,4316.0,,
790,83.0,,,10.0,200.0
791,100.0,,,20.0,200.0
792,50.0,,,,
793,88.0,499.0,1680.0,20.0,100.0
794,108.0,700.0,2680.0,20.0,100.0
795,153.0,785.0,2980.0,,200.0
796,60.0,,,20.0,
797,110.0,,,25.0,
798,1300.0,,,,
799,168.0,,,280.0,1000.0
800,65.0,,1800.0,8.0,200.0
801,48.0,,,25.0,150.0
802,70.0,,,,
803,65.0,,1380.0,25.0,100.0
804,45.0,250.0,800.0,40.0,150.0
805,80.0,,,,
806,285.0,,,165.0,1000.0
807,50.0,,,,
808,81.0,500.0,1800.0,5.0,
809,70.0,,,,
810,120.0,,,,
811,135.0,,,25.0,500.0
812,65.0,,1800.0,8.0,200.0
813,130.0,,,90.0,
814,50.0,,,,
815,300.0,1880.0,7000.0,120.0,400.0
816,90.0,650.0,2500.0,15.0,
817,139.0,,3600.0,80.0,
818,79.0,,,10.0,
819,75.0,,1500.0,20.0,100.0
820,64.0,,,15.0,
821,120.0,,,25.0,500.0
822,300.0,,,250.0,500.0
823,49.0,,,10.0,
824,98.0,,,30.0,500.0
825,159.0,,,30.0,150.0
826,55.0,,,,
827,40.0,,,,
828,60.0,,,,
829,50.0,,,,
830,79.0,449.0,1399.0,30.0,100.0
831,100.0,,,,
832,275.0,,,180.0,1500.0
833,90.0,,,100.0,1000.0
834,47.0,256.0,903.0,,
835,40.0,,,,
836,62.0,,,,200.0
837,120.0,,,50.0,
838,120.0,,,,
839,88.0,,,,
840,65.0,,,10.0,200.0
841,85.0,,,15.0,
842,300.0,,,130.0,300.0
843,35.0,,,,
844,96.0,540.0,1800.0,10.0,
845,70.0,,,50.0,200.0
846,65.0,,,80.0,300.0
847,85.0,,,20.0,250.0
848,166.0,,,10.0,
849,80.0,,,,
850,45.0,,,50.0,
851,199.0,,,120.0,100.0
852,60.0,,,,
853,144.0,,,51.0,
854,48.0,300.0,1200.0,15.0,300.0
855,100.0,,,10.0,
856,55.0,,,,
857,120.0,,,50.0,250.0
858,79.0,,,20.0,
859,79.0,,,20.0,
860,70.0,,,,
861,79.0,449.0,1399.0,80.0,100.0
862,600.0,,,250.0,3500.0
863,60.0,,,60.0,100.0
864,229.0,,,120.0,250.0
865,99.0,,,50.0,
866,248.0,,,,
867,200.0,,,,
868,180.0,,,98.0,500.0
869,69.0,,,,
870,100.0,,,,
871,240.0,,,,
872,40.0,,,,
873,100.0,,,,
874,90.0,500.0,1500.0,,250.0
875,175.0,,3000.0,,
876,129.0,,,,100.0
877,40.0,,,,
878,59.0,,,,
879,163.0,900.0,2900.0,90.0,300.0
880,400.0,,,200.0,500.0
881,65.0,425.0,1700.0,50.0,
882,140.0,,3600.0,100.0,500.0
883,69.0,450.0,1500.0,60.0,100.0
884,49.0,325.0,1190.0,25.0,250.0
885,159.0,,,79.0,499.0
886,160.0,,,125.0,500.0
887,250.0,,,,
888,300.0,1800.0,6000.0,100.0,500.0
889,47.0,,,30.0,100.0
890,49.0,285.0,925.0,12.0,100.0
891,99.0,650.0,2121.0,65.0,300.0
892,60.0,,,35.0,100.0
893,186.0,1000.0,3500.0,125.0,500.0
894,115.0,,,60.0,
895,110.0,600.0,2700.0,,
896,220.0,850.0,3300.0,120.0,1000.0
897,59.0,,,,
898,350.0,,,185.0,1000.0
899,369.0,1700.0,3800.0,95.0,
900,275.0,,,185.0,600.0
901,100.0,500.0,1800.0,50.0,250.0
902,135.0,,,50.0,500.0
903,200.0,,,,
904,75.0,,,25.0,150.0
