availability_id,availability_30,availability_60,availability_90,availability_365
880,12,21,31,68
881,0,0,0,214
882,17,46,76,348
883,5,9,16,268
884,0,0,13,123
885,19,49,79,169
886,5,21,31,306
887,25,55,85,360
888,0,0,0,0
889,29,59,89,364
890,17,47,77,77
891,22,44,70,146
892,29,59,89,364
893,24,50,74,349
894,20,46,76,346
895,0,0,0,242
896,0,4,4,218
897,17,47,77,352
898,30,60,90,365
899,28,58,88,363
900,25,51,81,168
901,3,26,56,331
902,0,19,31,108
903,0,0,0,0
904,0,13,43,43
905,16,36,66,341
906,0,0,0,0
907,1,5,31,144
908,7,8,8,243
909,19,29,46,117
910,14,39,60,335
911,22,31,61,336
912,30,60,90,365
913,8,12,12,278
914,18,46,72,162
915,30,60,90,365
916,0,1,31,31
917,15,38,68,68
918,29,59,89,364
919,0,0,15,15
920,0,0,0,0
921,0,0,0,0
922,0,0,0,0
923,11,33,45,309
924,23,53,83,358
925,25,55,85,85
926,0,0,0,0
927,21,50,80,355
928,0,0,0,0
929,22,22,43,318
930,17,47,77,352
931,6,6,16,20
932,8,25,55,330
933,21,51,81,171
934,8,23,47,322
935,0,5,35,35
936,4,15,31,295
937,30,60,90,365
938,0,0,0,0
939,9,9,9,131
940,0,0,0,0
941,0,0,0,0
942,24,50,80,170
943,0,7,37,312
944,0,0,0,275
945,26,40,70,340
946,18,23,23,53
947,12,27,51,144
948,29,59,89,364
949,0,0,0,0
950,28,58,88,363
951,21,51,81,142
952,1,13,43,43
953,0,0,0,0
954,17,29,58,58
955,7,15,18,262
956,5,17,17,262
957,18,41,71,160
958,17,47,77,166
959,6,22,45,306
960,30,60,90,365
961,0,0,0,0
962,10,22,39,308
963,5,32,32,199
964,22,22,22,281
965,16,17,47,47
966,0,4,20,295
967,11,38,68,343
968,8,11,21,256
969,0,0,0,0
970,2,2,2,264
971,0,9,14,258
972,0,12,18,285
973,29,59,89,89
974,5,35,65,158
975,28,58,88,363
976,0,0,15,32
977,7,11,11,223
